timestamp,heart_rate,eda,temperature,subject_id,session,heart_rate_normalized,eda_normalized,temperature_normalized
2023-01-01 01:05:11,60.25,0.43010175,30.490000000000002,S4,Midterm 2,0.2888553042121685,0.05970879068152393,0.7628559286017851
2023-01-01 01:05:12,60.23,0.429461,30.479999999999997,S4,Midterm 2,0.2887578003120125,0.05961983868904962,0.7624309392265192
2023-01-01 01:05:13,60.25,0.44323375,30.49,S4,Midterm 2,0.2888553042121685,0.061531837993537356,0.7628559286017849
2023-01-01 01:05:14,60.27,0.467576,30.5,S4,Midterm 2,0.2889528081123245,0.06491114605254275,0.7632809179770506
2023-01-01 01:05:15,60.32,0.4781455,30.5,S4,Midterm 2,0.2891965678627145,0.06637845480706042,0.7632809179770506
2023-01-01 01:05:16,60.28,0.48166925,30.49,S4,Midterm 2,0.2890015600624025,0.06686763870636801,0.7628559286017849
2023-01-01 01:05:17,60.35,0.49031725,30.479999999999997,S4,Midterm 2,0.2893428237129485,0.06806819560206495,0.7624309392265192
2023-01-01 01:05:18,60.35,0.49640225,30.490000000000002,S4,Midterm 2,0.2893428237129485,0.06891294452786466,0.7628559286017851
2023-01-01 01:05:19,60.42,0.49608225,30.51,S4,Midterm 2,0.28968408736349455,0.0688685205909286,0.7637059073523162
2023-01-01 01:05:20,60.38,0.49127825,30.520000000000003,S4,Midterm 2,0.28948907956318254,0.06820160623767604,0.7641308967275819
2023-01-01 01:05:21,60.38,0.47718499999999997,30.520000000000003,S4,Midterm 2,0.28948907956318254,0.06624511358385078,0.7641308967275819
2023-01-01 01:05:22,60.32,0.457647,30.51,S4,Midterm 2,0.2891965678627145,0.06353275458429868,0.7637059073523162
2023-01-01 01:05:23,60.7,0.45924825,30.5,S4,Midterm 2,0.29104914196567866,0.06375504779998262,0.7632809179770506
2023-01-01 01:05:24,61.12,0.4691775,30.509999999999998,S4,Midterm 2,0.29309672386895474,0.06513347397442744,0.7637059073523161
2023-01-01 01:05:25,61.4,0.47334125,30.520000000000003,S4,Midterm 2,0.29446177847113886,0.06571150574760713,0.7641308967275819
2023-01-01 01:05:26,61.73,0.4710995,30.520000000000003,S4,Midterm 2,0.29607059282371295,0.06540029524564962,0.7641308967275819
2023-01-01 01:05:27,62.08,0.48359075,30.520000000000003,S4,Midterm 2,0.29777691107644305,0.06713439056518875,0.7641308967275819
2023-01-01 01:05:28,62.38,0.50889375,30.520000000000003,S4,Midterm 2,0.29923946957878317,0.07064707455360451,0.7641308967275819
2023-01-01 01:05:29,62.67,0.513058,30.520000000000003,S4,Midterm 2,0.30065327613104526,0.07122517573918569,0.7641308967275819
2023-01-01 01:05:30,62.88,0.50312875,30.51,S4,Midterm 2,0.3016770670826833,0.06984674956474086,0.7637059073523162
2023-01-01 01:05:31,63.12,0.3842995,30.51,S4,Midterm 2,0.3028471138845554,0.053350302351744226,0.7637059073523162
2023-01-01 01:05:32,63.35,0.47045875,30.51,S4,Midterm 2,0.30396840873634945,0.06531134325317531,0.7637059073523162
2023-01-01 01:05:33,63.62,0.53804075,30.51,S4,Midterm 2,0.30528471138845553,0.07469340108446465,0.7637059073523162
2023-01-01 01:05:34,63.87,0.544767,30.51,S4,Midterm 2,0.3065035101404056,0.07562717141514012,0.7637059073523162
2023-01-01 01:05:35,64.12,0.5390014999999999,30.51,S4,Midterm 2,0.3077223088923557,0.07482677701387501,0.7637059073523162
2023-01-01 01:05:36,64.38,0.5341975,30.5,S4,Midterm 2,0.30898985959438374,0.07415986266062247,0.7632809179770506
2023-01-01 01:05:37,64.63,0.531955,30.5,S4,Midterm 2,0.3102086583463338,0.07384854804006274,0.7632809179770506
2023-01-01 01:05:38,64.87,0.5300335,30.51,S4,Midterm 2,0.3113787051482059,0.07358179618124204,0.7637059073523162
2023-01-01 01:05:39,65.03,0.527151,30.5,S4,Midterm 2,0.31215873634945396,0.0731816336868102,0.7632809179770506
2023-01-01 01:05:40,65.27,0.53035375,30.49,S4,Midterm 2,0.313328783151326,0.0736262548243788,0.7628559286017849
2023-01-01 01:05:41,65.58,0.5595005,30.49,S4,Midterm 2,0.31484009360374415,0.07767254664903822,0.7628559286017849
2023-01-01 01:05:42,65.85,0.57391375,30.5,S4,Midterm 2,0.3161563962558502,0.07967346323979954,0.7632809179770506
2023-01-01 01:05:43,66.05,0.5713515,30.5,S4,Midterm 2,0.3171314352574103,0.07931775938850451,0.7632809179770506
2023-01-01 01:05:44,66.25,0.561102,30.49,S4,Midterm 2,0.3181064742589704,0.0778948745709229,0.7628559286017849
2023-01-01 01:05:45,66.52,0.5543754999999999,30.5,S4,Midterm 2,0.3194227769110764,0.07696106953404669,0.7632809179770506
2023-01-01 01:05:46,66.8,0.54540775,30.51,S4,Midterm 2,0.3207878315132605,0.07571612340761444,0.7637059073523162
2023-01-01 01:05:47,67.08,0.55181375,30.51,S4,Midterm 2,0.3221528861154446,0.07660543509515312,0.7637059073523162
2023-01-01 01:05:48,67.33,0.55757875,30.51,S4,Midterm 2,0.3233716848673947,0.07740576008401677,0.7637059073523162
2023-01-01 01:05:49,67.57,0.60274025,30.51,S4,Midterm 2,0.32454173166926675,0.08367529642132217,0.7637059073523162
2023-01-01 01:05:50,67.8,0.639574,30.51,S4,Midterm 2,0.3256630265210608,0.08878873450606742,0.7637059073523162
2023-01-01 01:05:51,68.0,0.657831,30.520000000000003,S4,Midterm 2,0.3266380655226209,0.0913232589330724,0.7641308967275819
2023-01-01 01:05:52,68.22,0.68665725,30.509999999999998,S4,Midterm 2,0.32771060842433697,0.09532505740839428,0.7637059073523161
2023-01-01 01:05:53,68.38,0.68857925,30.5,S4,Midterm 2,0.328490639625585,0.09559187867961647,0.7632809179770506
2023-01-01 01:05:54,68.47,0.68921975,30.51,S4,Midterm 2,0.32892940717628705,0.09568079596589005,0.7637059073523162
2023-01-01 01:05:55,68.57,0.6860165,30.51,S4,Midterm 2,0.32941692667706707,0.09523610541591998,0.7637059073523162
